"","year","team","game","win","lose","tie","run_scored","run_allowed","batters","tpa","ab","hit","double","triple","hr","bb","ibb","hbp","so","rbi","r","sh","sf","sb","cs","gidp","e"
"133",2000,"Eagles",133,50,78,5,680,776,1796,5203,4600,1270,265,14,180,449,19,66,997,655,680,45,43,78,49,130,120
"134",2000,"Giants",133,65,64,4,603,579,1747,5178,4557,1186,206,26,104,449,19,66,831,553,603,82,24,92,48,93,105
"135",2000,"Landers",133,44,86,3,602,847,1722,5111,4492,1167,193,23,105,429,6,77,858,566,602,77,35,67,44,107,93
"136",2000,"Lions",133,69,59,5,744,670,1574,5212,4546,1223,246,15,177,496,23,80,967,708,744,47,43,81,37,97,79
"137",2000,"Tigers",133,57,72,4,588,728,1583,5176,4511,1137,216,13,86,527,16,40,866,537,588,64,33,113,53,107,118
"138",2000,"Twins",133,67,63,3,687,631,1660,5271,4532,1239,227,22,122,553,21,55,805,647,687,84,46,97,43,93,96
"139",2000,"Unicorns",133,91,40,2,777,528,1633,5240,4478,1245,246,25,208,548,19,94,905,736,777,74,46,104,56,87,94
"140",2001,"Bears",133,65,63,5,732,733,1654,5303,4583,1266,221,26,130,560,27,60,697,688,732,54,46,132,34,116,109
"141",2001,"Eagles",133,61,68,4,659,733,1807,5259,4556,1255,211,15,148,549,28,45,877,628,659,75,34,135,65,106,117
"142",2001,"Giants",133,59,70,4,718,670,1747,5308,4521,1265,247,24,121,585,39,60,817,671,718,82,60,106,53,89,99
"143",2001,"Landers",133,60,71,2,596,640,1723,5077,4400,1143,215,11,113,457,23,71,770,555,596,122,26,123,59,95,97
"144",2001,"Lions",133,81,52,0,739,644,1650,5280,4553,1262,244,21,162,520,27,95,814,695,739,69,42,73,44,111,79
"145",2001,"Tigers",133,60,68,5,683,727,1702,5189,4542,1263,221,17,142,497,21,56,774,637,683,51,43,92,63,129,107
"146",2001,"Twins",133,58,67,8,669,732,1803,5319,4521,1247,219,24,85,590,24,52,759,630,669,114,41,96,58,100,103
"147",2001,"Unicorns",133,72,57,4,711,628,1653,5225,4445,1192,166,20,169,598,14,76,911,667,711,77,29,99,55,109,116
"148",2002,"Bears",133,66,65,2,587,562,1693,5083,4498,1173,174,21,130,434,17,58,794,556,587,47,46,106,42,107,88
"149",2002,"Eagles",133,59,69,5,603,672,1791,5062,4491,1148,206,10,170,446,22,49,1064,570,603,52,22,94,65,106,85
"150",2002,"Giants",133,35,97,1,463,710,1757,4986,4512,1105,206,19,85,324,14,78,978,443,463,49,22,76,63,75,117
"151",2002,"Landers",133,61,69,3,618,638,1737,5090,4475,1207,204,27,158,385,15,100,815,587,618,96,34,80,55,94,94
"152",2002,"Lions",133,82,47,4,777,581,1599,5304,4648,1321,266,16,191,469,26,97,804,731,777,55,34,47,29,116,87
"153",2002,"Tigers",133,78,51,4,643,580,1687,5200,4575,1230,220,14,120,454,32,91,914,611,643,45,35,155,39,107,101
"154",2002,"Twins",133,66,61,6,583,575,1752,5121,4492,1173,212,22,100,412,29,86,951,541,583,93,37,140,63,91,91
"155",2002,"Unicorns",133,70,58,5,658,614,1748,5140,4444,1160,191,25,173,464,26,99,945,643,658,99,34,79,50,82,82
"156",2003,"Bears",133,57,74,2,563,619,1702,5165,4536,1251,205,21,90,452,17,62,706,541,563,63,52,58,36,121,90
"157",2003,"Eagles",133,63,65,5,577,617,1739,5198,4458,1131,218,20,121,542,22,75,887,521,577,102,21,78,57,89,75
"158",2003,"Giants",133,39,91,3,491,709,1656,4987,4465,1143,232,18,73,338,11,73,848,451,491,83,28,84,66,75,104
"159",2003,"Landers",133,66,64,3,644,642,1656,5157,4445,1208,209,16,156,464,10,89,763,612,644,127,32,82,57,87,90
"160",2003,"Lions",133,76,53,4,769,613,1501,5241,4564,1295,236,14,213,481,19,85,661,744,769,73,38,56,32,131,75
"161",2003,"Tigers",133,78,50,5,657,527,1657,5127,4448,1211,219,16,129,505,18,42,721,626,657,94,37,146,67,72,70
"162",2003,"Twins",133,60,71,2,509,579,1694,4964,4375,1088,188,29,106,404,11,70,781,485,509,74,40,135,62,90,98
"163",2003,"Unicorns",133,80,51,2,723,627,1648,5313,4483,1280,208,15,175,543,23,109,727,673,723,139,38,75,48,100,112
"164",2004,"Bears",133,70,62,1,606,560,1674,5109,4485,1200,202,19,89,433,12,96,780,573,606,55,40,71,59,86,88
"165",2004,"Eagles",133,53,74,6,632,750,1729,5150,4519,1213,245,17,140,456,14,54,923,605,632,88,33,82,58,107,95
"166",2004,"Giants",133,50,72,11,533,608,1661,5075,4462,1125,195,21,88,416,15,92,853,500,533,74,31,129,46,99,87
"167",2004,"Landers",133,61,64,8,655,645,1728,5254,4499,1223,196,9,138,521,24,93,818,626,655,105,35,50,47,98,83
"168",2004,"Lions",133,73,52,8,641,564,1553,5170,4509,1215,225,9,132,460,22,86,704,600,641,84,31,50,32,122,88
"169",2004,"Tigers",133,67,61,5,643,637,1685,5190,4426,1182,224,9,143,549,22,79,693,610,643,82,54,127,54,118,79
"170",2004,"Twins",133,59,70,4,588,636,1753,5081,4432,1150,176,24,102,441,18,95,892,554,588,73,40,69,48,89,104
"171",2004,"Unicorns",133,75,53,5,692,590,1692,5322,4480,1233,190,13,134,607,29,86,871,653,692,111,38,100,45,109,78
"172",2005,"Bears",126,72,51,3,596,465,1665,4922,4256,1147,183,17,63,465,14,85,701,558,596,81,35,103,50,93,80
"173",2005,"Eagles",126,64,61,1,622,603,1507,4841,4304,1163,211,9,159,400,12,75,824,594,622,31,31,62,24,121,110
"174",2005,"Giants",126,58,67,1,500,573,1607,4722,4177,1058,202,23,83,361,11,70,856,470,500,94,20,88,52,83,98
"175",2005,"Landers",126,70,50,6,589,485,1631,4984,4230,1139,174,12,122,495,27,85,806,559,589,136,38,101,54,88,80
"176",2005,"Lions",126,74,48,4,614,528,1602,4975,4234,1134,178,6,111,500,21,109,748,575,614,98,34,97,38,112,86
"177",2005,"Tigers",126,49,76,1,541,659,1564,4848,4234,1102,183,13,99,430,24,74,718,507,541,79,31,101,43,101,98
"178",2005,"Twins",126,54,71,1,601,666,1612,4785,4222,1098,189,21,105,349,12,93,915,554,601,80,41,149,45,72,89
"179",2005,"Unicorns",126,53,70,3,563,647,1506,4899,4190,1071,168,16,134,458,12,120,817,529,563,105,26,81,38,85,100
"180",2006,"Bears",126,63,60,3,455,467,1640,4708,4147,1068,152,28,55,368,14,83,635,425,455,81,27,132,57,102,95
"181",2006,"Eagles",126,67,57,2,511,475,1596,4769,4170,1057,191,3,110,442,13,59,800,481,511,68,30,65,28,120,84
"182",2006,"Giants",126,50,73,3,488,541,1650,4766,4137,1034,173,3,88,418,17,65,815,463,488,124,21,62,41,84,84
"183",2006,"Landers",126,60,65,1,509,535,1583,4793,4177,1059,171,19,99,424,19,63,859,488,509,96,33,117,47,84,90
"184",2006,"Lions",126,73,50,3,538,471,1646,4779,4091,1043,192,9,73,477,14,79,689,505,538,90,42,121,52,107,76
"185",2006,"Tigers",126,64,59,3,476,451,1544,4754,4181,1067,191,22,62,390,20,55,650,431,476,102,26,93,43,90,66
"186",2006,"Twins",126,47,75,4,457,574,1612,4724,4217,1037,181,16,81,330,19,52,813,430,457,92,32,84,33,86,82
"187",2006,"Unicorns",126,70,55,1,547,467,1627,4798,4092,1104,172,9,92,444,17,77,628,518,547,153,32,71,47,108,93
"188",2007,"Bears",126,70,54,2,578,480,1632,4856,4199,1103,209,32,78,449,21,88,748,543,578,68,51,161,59,102,73
"189",2007,"Eagles",126,67,57,2,534,481,1593,4805,4128,1050,165,13,104,506,17,56,705,502,534,87,28,48,21,128,76
"190",2007,"Giants",126,55,68,3,533,554,1600,4894,4273,1152,193,18,76,405,34,73,763,501,533,104,39,67,46,87,82
