"Date","School","Mention_Volume","Seed","Time","TournamentRound","IsWinner","SeedDifference","UpsetWin","UpsetLoss","FavoriteWin","FavoriteLoss","UnderdogWin","UnderdogLoss","SizeSetting","Control","F20Enrollment","Major","EndDate","IsMarchMadness","IsGameDay"
2023-03-13,"University of Nevada Reno",522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",20722,0,2023-03-16,1,0
2023-03-13,"University of Virginia",1230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",25628,1,2023-03-17,1,0
2023-03-13,"Arizona State University",2084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",74795,1,2023-03-18,1,0
2023-03-13,"Duke University",3136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, highly residential","Private not-for-profit",16172,1,2023-03-19,1,0
2023-03-13,"Utah State University",366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily nonresidential","Public",27691,0,2023-03-17,1,0
2023-03-13,"University of Kansas",1653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",26744,1,2023-03-19,1,0
2023-03-13,"North Carolina State University",868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",36042,1,2023-03-18,1,0
2023-03-13,"University of Miami",1438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Private not-for-profit",17809,1,2023-04-02,1,0
2023-03-13,"Providence College",501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, highly residential","Private not-for-profit",4821,1,2023-03-18,1,0
2023-03-13,"Xavier University",377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, medium, primarily residential","Private not-for-profit",7061,0,2023-03-25,1,0
2023-03-13,"Indiana University Bloomington",1233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",43064,1,2023-03-20,1,0
2023-03-13,"University of Maryland",1707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Four-year, large, primarily residential","Public",40709,1,2023-03-19,1,0
